Trying ::1...
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
QEMU 9.0.0 monitor - type 'help' for more information
(qemu)  [K[D i[K[D[D in[K[D[D[D inf[K[D[D[D[D info[K[D[D[D[D[D info [K[D[D[D[D[D[D info t[K[D[D[D[D[D[D[D info tl[K[D[D[D[D[D[D[D[D info tlb[K
0000000000000000: 0000000000000000 --------W
0000000000001000: 0000000000001000 --------W
0000000000002000: 0000000000002000 --------W
0000000000003000: 0000000000003000 --------W
0000000000004000: 0000000000004000 --------W
0000000000005000: 0000000000005000 --------W
0000000000006000: 0000000000006000 --------W
0000000000007000: 0000000000007000 --------W
0000000000008000: 0000000000008000 --------W
0000000000009000: 0000000000009000 --------W
000000000000a000: 000000000000a000 --------W
000000000000b000: 000000000000b000 --------W
000000000000c000: 000000000000c000 --------W
000000000000d000: 000000000000d000 --------W
000000000000e000: 000000000000e000 --------W
000000000000f000: 000000000000f000 --------W
0000000000010000: 0000000000010000 --------W
0000000000011000: 0000000000011000 --------W
0000000000012000: 0000000000012000 --------W
0000000000013000: 0000000000013000 --------W
0000000000014000: 0000000000014000 --------W
0000000000015000: 0000000000015000 --------W
0000000000016000: 0000000000016000 --------W
0000000000017000: 0000000000017000 --------W
0000000000018000: 0000000000018000 --------W
0000000000019000: 0000000000019000 --------W
000000000001a000: 000000000001a000 --------W
000000000001b000: 000000000001b000 --------W
000000000001c000: 000000000001c000 --------W
000000000001d000: 000000000001d000 --------W
000000000001e000: 000000000001e000 --------W
000000000001f000: 000000000001f000 --------W
0000000000020000: 0000000000020000 --------W
0000000000021000: 0000000000021000 --------W
0000000000022000: 0000000000022000 --------W
0000000000023000: 0000000000023000 --------W
0000000000024000: 0000000000024000 --------W
0000000000025000: 0000000000025000 --------W
0000000000026000: 0000000000026000 --------W
0000000000027000: 0000000000027000 --------W
0000000000028000: 0000000000028000 --------W
0000000000029000: 0000000000029000 --------W
000000000002a000: 000000000002a000 --------W
000000000002b000: 000000000002b000 --------W
000000000002c000: 000000000002c000 --------W
000000000002d000: 000000000002d000 --------W
000000000002e000: 000000000002e000 --------W
000000000002f000: 000000000002f000 --------W
0000000000030000: 0000000000030000 --------W
0000000000031000: 0000000000031000 --------W
0000000000032000: 0000000000032000 --------W
0000000000033000: 0000000000033000 --------W
0000000000034000: 0000000000034000 --------W
0000000000035000: 0000000000035000 --------W
0000000000036000: 0000000000036000 --------W
0000000000037000: 0000000000037000 --------W
0000000000038000: 0000000000038000 --------W
0000000000039000: 0000000000039000 --------W
000000000003a000: 000000000003a000 --------W
000000000003b000: 000000000003b000 --------W
000000000003c000: 000000000003c000 --------W
000000000003d000: 000000000003d000 --------W
000000000003e000: 000000000003e000 --------W
000000000003f000: 000000000003f000 --------W
0000000000040000: 0000000000040000 --------W
0000000000041000: 0000000000041000 --------W
0000000000042000: 0000000000042000 --------W
0000000000043000: 0000000000043000 --------W
0000000000044000: 0000000000044000 --------W
0000000000045000: 0000000000045000 --------W
0000000000046000: 0000000000046000 --------W
0000000000047000: 0000000000047000 --------W
0000000000048000: 0000000000048000 --------W
0000000000049000: 0000000000049000 --------W
000000000004a000: 000000000004a000 --------W
000000000004b000: 000000000004b000 --------W
000000000004c000: 000000000004c000 --------W
000000000004d000: 000000000004d000 --------W
000000000004e000: 000000000004e000 --------W
000000000004f000: 000000000004f000 --------W
0000000000050000: 0000000000050000 --------W
0000000000051000: 0000000000051000 --------W
0000000000052000: 0000000000052000 --------W
0000000000053000: 0000000000053000 --------W
0000000000054000: 0000000000054000 --------W
0000000000055000: 0000000000055000 --------W
0000000000056000: 0000000000056000 --------W
0000000000057000: 0000000000057000 --------W
0000000000058000: 0000000000058000 --------W
0000000000059000: 0000000000059000 --------W
000000000005a000: 000000000005a000 --------W
000000000005b000: 000000000005b000 --------W
000000000005c000: 000000000005c000 --------W
000000000005d000: 000000000005d000 --------W
000000000005e000: 000000000005e000 --------W
000000000005f000: 000000000005f000 --------W
0000000000060000: 0000000000060000 --------W
0000000000061000: 0000000000061000 --------W
0000000000062000: 0000000000062000 --------W
0000000000063000: 0000000000063000 --------W
0000000000064000: 0000000000064000 --------W
0000000000065000: 0000000000065000 --------W
0000000000066000: 0000000000066000 --------W
0000000000067000: 0000000000067000 --------W
0000000000068000: 0000000000068000 --------W
0000000000069000: 0000000000069000 --------W
000000000006a000: 000000000006a000 --------W
000000000006b000: 000000000006b000 --------W
000000000006c000: 000000000006c000 --------W
000000000006d000: 000000000006d000 --------W
000000000006e000: 000000000006e000 --------W
000000000006f000: 000000000006f000 --------W
0000000000070000: 0000000000070000 --------W
0000000000071000: 0000000000071000 --------W
0000000000072000: 0000000000072000 --------W
0000000000073000: 0000000000073000 --------W
0000000000074000: 0000000000074000 --------W
0000000000075000: 0000000000075000 --------W
0000000000076000: 0000000000076000 --------W
0000000000077000: 0000000000077000 --------W
0000000000078000: 0000000000078000 --------W
0000000000079000: 0000000000079000 --------W
000000000007a000: 000000000007a000 --------W
000000000007b000: 000000000007b000 --------W
000000000007c000: 000000000007c000 --------W
000000000007d000: 000000000007d000 --------W
000000000007e000: 000000000007e000 --------W
000000000007f000: 000000000007f000 --------W
0000000000080000: 0000000000080000 --------W
0000000000081000: 0000000000081000 --------W
0000000000082000: 0000000000082000 --------W
0000000000083000: 0000000000083000 --------W
0000000000084000: 0000000000084000 --------W
0000000000085000: 0000000000085000 --------W
0000000000086000: 0000000000086000 --------W
0000000000087000: 0000000000087000 --------W
0000000000088000: 0000000000088000 --------W
0000000000089000: 0000000000089000 --------W
000000000008a000: 000000000008a000 --------W
000000000008b000: 000000000008b000 --------W
000000000008c000: 000000000008c000 --------W
000000000008d000: 000000000008d000 --------W
000000000008e000: 000000000008e000 --------W
000000000008f000: 000000000008f000 --------W
0000000000090000: 0000000000090000 --------W
0000000000091000: 0000000000091000 --------W
0000000000092000: 0000000000092000 --------W
0000000000093000: 0000000000093000 --------W
0000000000094000: 0000000000094000 --------W
0000000000095000: 0000000000095000 --------W
0000000000096000: 0000000000096000 --------W
0000000000097000: 0000000000097000 --------W
0000000000098000: 0000000000098000 --------W
0000000000099000: 0000000000099000 --------W
000000000009a000: 000000000009a000 --------W
000000000009b000: 000000000009b000 --------W
000000000009c000: 000000000009c000 --------W
000000000009d000: 000000000009d000 --------W
000000000009e000: 000000000009e000 --------W
000000000009f000: 000000000009f000 --------W
00000000000a0000: 00000000000a0000 --------W
00000000000a1000: 00000000000a1000 --------W
00000000000a2000: 00000000000a2000 --------W
00000000000a3000: 00000000000a3000 --------W
00000000000a4000: 00000000000a4000 --------W
00000000000a5000: 00000000000a5000 --------W
00000000000a6000: 00000000000a6000 --------W
00000000000a7000: 00000000000a7000 --------W
00000000000a8000: 00000000000a8000 --------W
00000000000a9000: 00000000000a9000 --------W
00000000000aa000: 00000000000aa000 --------W
00000000000ab000: 00000000000ab000 --------W
00000000000ac000: 00000000000ac000 --------W
00000000000ad000: 00000000000ad000 --------W
00000000000ae000: 00000000000ae000 --------W
00000000000af000: 00000000000af000 --------W
00000000000b0000: 00000000000b0000 --------W
00000000000b1000: 00000000000b1000 --------W
00000000000b2000: 00000000000b2000 --------W
00000000000b3000: 00000000000b3000 --------W
00000000000b4000: 00000000000b4000 --------W
00000000000b5000: 00000000000b5000 --------W
00000000000b6000: 00000000000b6000 --------W
00000000000b7000: 00000000000b7000 --------W
00000000000b8000: 00000000000b8000 --------W
00000000000b9000: 00000000000b9000 --------W
00000000000ba000: 00000000000ba000 --------W
00000000000bb000: 00000000000bb000 --------W
00000000000bc000: 00000000000bc000 --------W
00000000000bd000: 00000000000bd000 --------W
00000000000be000: 00000000000be000 --------W
00000000000bf000: 00000000000bf000 --------W
00000000000c0000: 00000000000c0000 --------W
00000000000c1000: 00000000000c1000 --------W
00000000000c2000: 00000000000c2000 --------W
00000000000c3000: 00000000000c3000 --------W
00000000000c4000: 00000000000c4000 --------W
00000000000c5000: 00000000000c5000 --------W
00000000000c6000: 00000000000c6000 --------W
00000000000c7000: 00000000000c7000 --------W
00000000000c8000: 00000000000c8000 --------W
00000000000c9000: 00000000000c9000 --------W
00000000000ca000: 00000000000ca000 --------W
00000000000cb000: 00000000000cb000 --------W
00000000000cc000: 00000000000cc000 --------W
00000000000cd000: 00000000000cd000 --------W
00000000000ce000: 00000000000ce000 --------W
00000000000cf000: 00000000000cf000 --------W
00000000000d0000: 00000000000d0000 --------W
00000000000d1000: 00000000000d1000 --------W
00000000000d2000: 00000000000d2000 --------W
00000000000d3000: 00000000000d3000 --------W
00000000000d4000: 00000000000d4000 --------W
00000000000d5000: 00000000000d5000 --------W
00000000000d6000: 00000000000d6000 --------W
00000000000d7000: 00000000000d7000 --------W
00000000000d8000: 00000000000d8000 --------W
00000000000d9000: 00000000000d9000 --------W
00000000000da000: 00000000000da000 --------W
00000000000db000: 00000000000db000 --------W
00000000000dc000: 00000000000dc000 --------W
00000000000dd000: 00000000000dd000 --------W
00000000000de000: 00000000000de000 --------W
00000000000df000: 00000000000df000 --------W
00000000000e0000: 00000000000e0000 --------W
00000000000e1000: 00000000000e1000 --------W
00000000000e2000: 00000000000e2000 --------W
00000000000e3000: 00000000000e3000 --------W
00000000000e4000: 00000000000e4000 --------W
00000000000e5000: 00000000000e5000 --------W
00000000000e6000: 00000000000e6000 --------W
00000000000e7000: 00000000000e7000 --------W
00000000000e8000: 00000000000e8000 --------W
00000000000e9000: 00000000000e9000 --------W
00000000000ea000: 00000000000ea000 --------W
00000000000eb000: 00000000000eb000 --------W
00000000000ec000: 00000000000ec000 --------W
00000000000ed000: 00000000000ed000 --------W
00000000000ee000: 00000000000ee000 --------W
00000000000ef000: 00000000000ef000 --------W
00000000000f0000: 00000000000f0000 --------W
00000000000f1000: 00000000000f1000 --------W
00000000000f2000: 00000000000f2000 --------W
00000000000f3000: 00000000000f3000 --------W
00000000000f4000: 00000000000f4000 --------W
00000000000f5000: 00000000000f5000 --------W
00000000000f6000: 00000000000f6000 --------W
00000000000f7000: 00000000000f7000 --------W
00000000000f8000: 00000000000f8000 --------W
00000000000f9000: 00000000000f9000 --------W
00000000000fa000: 00000000000fa000 --------W
00000000000fb000: 00000000000fb000 --------W
00000000000fc000: 00000000000fc000 --------W
00000000000fd000: 00000000000fd000 --------W
00000000000fe000: 00000000000fe000 --------W
00000000000ff000: 00000000000ff000 --------W
0000000000100000: 0000000000100000 --------W
0000000000101000: 0000000000101000 --------W
0000000000102000: 0000000000102000 --------W
0000000000103000: 0000000000103000 ----A---W
0000000000104000: 0000000000104000 --------W
0000000000105000: 0000000000105000 --------W
0000000000106000: 0000000000106000 --------W
0000000000107000: 0000000000107000 --------W
0000000000108000: 0000000000108000 --------W
0000000000109000: 0000000000109000 --------W
000000000010a000: 000000000010a000 --------W
000000000010b000: 000000000010b000 --------W
000000000010c000: 000000000010c000 --------W
000000000010d000: 000000000010d000 --------W
000000000010e000: 000000000010e000 --------W
000000000010f000: 000000000010f000 --------W
0000000000110000: 0000000000110000 --------W
0000000000111000: 0000000000111000 --------W
0000000000112000: 0000000000112000 ----A---W
0000000000113000: 0000000000113000 --------W
0000000000114000: 0000000000114000 --------W
0000000000115000: 0000000000115000 --------W
0000000000116000: 0000000000116000 --------W
0000000000117000: 0000000000117000 --------W
0000000000118000: 0000000000118000 --------W
0000000000119000: 0000000000119000 --------W
000000000011a000: 000000000011a000 --------W
000000000011b000: 000000000011b000 --------W
000000000011c000: 000000000011c000 --------W
000000000011d000: 000000000011d000 --------W
000000000011e000: 000000000011e000 --------W
000000000011f000: 000000000011f000 --------W
0000000000120000: 0000000000120000 --------W
0000000000121000: 0000000000121000 --------W
0000000000122000: 0000000000122000 --------W
0000000000123000: 0000000000123000 --------W
0000000000124000: 0000000000124000 --------W
0000000000125000: 0000000000125000 --------W
0000000000126000: 0000000000126000 --------W
0000000000127000: 0000000000127000 --------W
0000000000128000: 0000000000128000 --------W
0000000000129000: 0000000000129000 --------W
000000000012a000: 000000000012a000 --------W
000000000012b000: 000000000012b000 --------W
000000000012c000: 000000000012c000 --------W
000000000012d000: 000000000012d000 --------W
000000000012e000: 000000000012e000 --------W
000000000012f000: 000000000012f000 --------W
0000000000130000: 0000000000130000 --------W
0000000000131000: 0000000000131000 --------W
0000000000132000: 0000000000132000 --------W
0000000000133000: 0000000000133000 --------W
0000000000134000: 0000000000134000 --------W
0000000000135000: 0000000000135000 --------W
0000000000136000: 0000000000136000 --------W
0000000000137000: 0000000000137000 --------W
0000000000138000: 0000000000138000 --------W
0000000000139000: 0000000000139000 --------W
000000000013a000: 000000000013a000 --------W
